t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
0,0,0,0,0,0,0,-0.00444318,0,0,0,-2.92404,0,-0.00444987,0,0,0,-2.92425,0,-0.0337423,0
0.0892711,-4.19614e-08,-6.51296e-06,0,-5.71397e-05,-2.74823e-05,0,-0.00278446,-0.00349253,0,2.26618,-1.82791,0,-0.00278996,-0.00349634,0,2.25286,-1.84687,0,-0.0337378,0.00127764
0.178473,-1.31207e-07,-1.30849e-05,0,-7.21428e-05,-8.51933e-05,0,0.000739636,-0.00445252,0,2.85121,0.44443,0,0.000744113,-0.00445749,0,2.85438,0.445015,0,-0.0337131,0.00242377
0.267718,-2.10134e-07,-1.97363e-05,0,-3.83714e-05,-0.000135411,0,0.00386157,-0.00239723,0,1.51999,2.42066,0,0.00386437,-0.0024033,0,1.51471,2.44039,0,-0.0337331,0.00251396
0.356962,-2.22477e-07,-2.64286e-05,0,2.1031e-05,-0.000143195,0,0.00434853,0.00127771,0,-0.829828,2.73531,0,0.00435354,0.00128214,0,-0.833463,2.74135,0,-0.0337044,0.00190458
0.446224,-1.58911e-07,-3.31004e-05,0,6.6811e-05,-0.000102907,0,0.00183564,0.00408883,0,-2.64124,1.14617,0,0.00183922,0.00409448,0,-2.64268,1.14421,0,-0.0336899,0.000651385
0.535402,-6.8332e-08,-3.96946e-05,0,6.73588e-05,-4.46395e-05,0,-0.00174405,0.00407937,0,-2.65977,-1.15703,0,-0.0017448,0.00408601,0,-2.66746,-1.16083,0,-0.0337069,0.00127027
0.624659,-4.52526e-09,-4.62222e-05,0,2.06467e-05,-2.97497e-06,0,-0.00426431,0.00121031,0,-0.821246,-2.80636,0,-0.00427084,0.00120887,0,-0.811649,-2.80664,0,-0.0337343,0.00214375
0.713906,-1.9235e-08,-5.27266e-05,0,-4.108e-05,-1.26251e-05,0,-0.00368256,-0.00255465,0,1.61879,-2.42269,0,-0.00368924,-0.00255472,0,1.63013,-2.4271,0,-0.0337217,0.00246514
0.802916,-8.40155e-08,-5.9262e-05,0,-7.08065e-05,-5.48009e-05,0,-0.00112488,-0.00439566,0,2.79565,-0.753789,0,-0.00112359,-0.00440222,0,2.80426,-0.760431,0,-0.0337323,0.0019349
0.892145,-1.76623e-07,-6.58751e-05,0,-6.05443e-05,-0.000114183,0,0.00253618,-0.00380691,0,2.39206,1.59476,0,0.00253943,-0.00381276,0,2.39624,1.58742,0,-0.0336808,0.000398486
0.981301,-2.25428e-07,-7.25414e-05,0,-1.33588e-05,-0.000145054,0,0.00446479,-0.000900839,0,0.522572,2.81053,0,0.00447068,-0.000903986,0,0.533938,2.81316,0,-0.0337352,0.00137138
1.07055,-2.02735e-07,-7.92327e-05,0,4.50854e-05,-0.000130735,0,0.00356917,0.00271295,0,-1.77985,2.24992,0,0.00357159,0.00271918,0,-1.78584,2.24127,0,-0.033671,0.00231613
