t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
0,0,0,0,0,0,0,-0.00444318,0,0,0,-2.92404,0,-0.00444987,0,0,0,-2.92425,0,-0.0337423,0
0.0636889,-2.26437e-07,-4.72411e-06,0,9.3102e-06,-0.000145689,0,0.00450466,0.000575313,0,-0.378935,2.83972,0,0.00451062,0.000572282,0,-0.357386,2.83419,0,-0.033694,0.00255978
0.121479,-2.18933e-07,-8.93978e-06,0,-2.73892e-05,-0.000140962,0,0.00420757,-0.0017097,0,1.10485,2.64715,0,0.00421426,-0.00170949,0,1.0613,2.65294,0,-0.0332837,0.00182998
0.174094,-6.33579e-08,-1.29753e-05,0,6.58998e-05,-4.14097e-05,0,-0.00194091,0.00401475,0,-2.60253,-1.33141,0,-0.00194133,0.00402142,0,-2.60932,-1.24189,0,-0.028526,0.00168505
0.232729,-6.12111e-08,-1.73101e-05,0,6.52095e-05,-4.0015e-05,0,-0.00202382,0.0039682,0,-2.57236,-1.34283,0,-0.00202819,0.00397325,0,-2.5849,-1.34076,0,-0.0337128,0.00107417
0.295401,-1.11058e-07,-2.17298e-05,0,-7.31372e-05,-7.22508e-05,0,-5.67159e-05,-0.0045133,0,2.89049,-0.0695829,0,-5.30678e-05,-0.0045189,0,2.89374,-0.0645664,0,-0.0337369,0.00249873
0.354436,-1.42288e-07,-2.60988e-05,0,-7.05919e-05,-9.22902e-05,0,0.00118113,-0.00437395,0,2.79156,0.731813,0,0.00117904,-0.0043803,0,2.79137,0.718902,0,-0.0331633,0.00248019
0.415173,-2.27264e-07,-3.07052e-05,0,3.29388e-06,-0.00014621,0,0.00453703,0.000174387,0,-0.133388,2.85782,0,0.00454367,0.000173679,0,-0.127116,2.85729,0,-0.0337398,0.000684881
0.476067,-1.20687e-07,-3.53163e-05,0,7.29489e-05,-7.84422e-05,0,0.00032704,0.0044487,0,-2.88377,0.177482,0,0.000324731,0.00445497,0,-2.88558,0.178028,0,-0.0337415,0.00185578
0.534662,-1.21229e-07,-3.96491e-05,0,7.29226e-05,-7.87907e-05,0,0.000345399,0.00444341,0,-2.87442,0.199127,0,0.000349268,0.00444886,0,-2.89284,0.183945,0,-0.0337152,0.00231328
