x;y;z
0.000445544;-13.3696;-18.874
-10;-13.3697;-18.8741
-10.0001;-13.3697;-18.8742
-10.0001;-13.3698;-18.8743
-10.0001;-13.3699;-18.8743
-10.0001;-13.3699;-18.8744
-10.0002;-13.37;-18.8745
-10.0002;-13.3701;-18.8746
-10.0002;-13.3701;-18.8747
-10.0003;-13.3702;-18.8748
-10.0003;-13.3703;-18.8749
-10.0003;-13.3703;-18.875
-10.0004;-13.3704;-18.8751
-10.0004;-13.3705;-18.8752
-10.0004;-13.3705;-18.8753
-10.0004;-13.3706;-18.8754
-10.0005;-13.3707;-18.8754
-10.0005;-13.3707;-18.8755
-10.0005;-13.3708;-18.8756
-10.0006;-13.3708;-18.8757
-10.0006;-13.3709;-18.8758
-10.0006;-13.371;-18.8759
-10.0007;-13.371;-18.876
-10.0007;-13.3711;-18.8761
-10.0007;-13.3712;-18.8762
-10.0007;-13.3712;-18.8763
-10.0008;-13.3713;-18.8764
-10.0008;-13.3714;-18.8764
-10.0008;-13.3714;-18.8765
-10.0009;-13.3715;-18.8766
-10.0009;-13.3716;-18.8767
-10.0009;-13.3716;-18.8768
-10.0009;-13.3717;-18.8769
-10.001;-13.3718;-18.877
-10.001;-13.3718;-18.8771
-10.001;-13.3719;-18.8772
-10.0011;-13.3719;-18.8773
-10.0011;-13.372;-18.8774
-10.0011;-13.3721;-18.8775
-10.0012;-13.3721;-18.8775
-10.0012;-13.3722;-18.8776
-10.0012;-13.3723;-18.8777
-10.0012;-13.3723;-18.8778
-10.0013;-13.3724;-18.8779
-10.0013;-13.3725;-18.878
-10.0013;-13.3725;-18.8781
-10.0014;-13.3726;-18.8782
-10.0014;-13.3727;-18.8783
-10.0014;-13.3727;-18.8784
-10.0014;-13.3728;-18.8785
-10.0015;-13.3729;-18.8786
-10.0015;-13.3729;-18.8786
-10.0015;-13.373;-18.8787
-10.0016;-13.373;-18.8788
-10.0016;-13.3731;-18.8789
-10.0016;-13.3732;-18.879
-10.0017;-13.3732;-18.8791
-10.0017;-13.3733;-18.8792
-10.0017;-13.3734;-18.8793
-10.0017;-13.3734;-18.8794
-10.0018;-13.3735;-18.8795
-10.0018;-13.3736;-18.8796
-10.0018;-13.3736;-18.8797
-10.0019;-13.3737;-18.8797
-10.0019;-13.3738;-18.8798
-10.0019;-13.3738;-18.8799
-10.002;-13.3739;-18.88
-10.002;-13.374;-18.8801
-10.002;-13.374;-18.8802
-10.002;-13.3741;-18.8803
-10.0021;-13.3742;-18.8804
-10.0021;-13.3742;-18.8805
-10.0021;-13.3743;-18.8806
-10.0022;-13.3743;-18.8807
-10.0022;-13.3744;-18.8808
-10.0022;-13.3745;-18.8808
-10.0022;-13.3745;-18.8809
-10.0023;-13.3746;-18.881
-10.0023;-13.3747;-18.8811
-10.0023;-13.3747;-18.8812
-10.0024;-13.3748;-18.8813
-10.0024;-13.3749;-18.8814
-10.0024;-13.3749;-18.8815
-10.0025;-13.375;-18.8816
-10.0025;-13.3751;-18.8817
-10.0025;-13.3751;-18.8818
-10.0026;-13.3752;-18.8819
-10.0026;-13.3753;-18.8819
-10.0026;-13.3753;-18.882
