x;y;z
-10;10;-11
-10.003;10;-11
-10.006;10;-11
-10.009;10;-11
-10.012;10;-11
-10.015;10;-11
-10.018;10;-11
-10.021;10;-11
-10.024;9.99999;-11
-10.027;9.99999;-11
-10.03;9.99999;-11
-10.033;9.99999;-11
-10.036;9.99999;-11
-10.039;9.99999;-11
-10.042;9.99998;-11
-10.045;9.99998;-11
-10.048;9.99998;-11
-10.051;9.99998;-11
-10.054;9.99997;-11
-10.057;9.99997;-11
-10.06;9.99997;-10.9999
-10.0629;9.99996;-10.9999
-10.0659;9.99996;-10.9999
-10.0689;9.99996;-10.9999
-10.0719;9.99995;-10.9999
-10.0749;9.99995;-10.9999
-10.0779;9.99995;-10.9999
-10.0809;9.99994;-10.9999
-10.0839;9.99994;-10.9999
-10.0869;9.99993;-10.9999
-10.0899;9.99993;-10.9999
-10.0929;9.99992;-10.9999
-10.0959;9.99992;-10.9999
-10.0989;9.99991;-10.9999
-10.1019;9.99991;-10.9998
-10.1049;9.9999;-10.9998
-10.1078;9.9999;-10.9998
-10.1108;9.99989;-10.9998
-10.1138;9.99988;-10.9998
-10.1168;9.99988;-10.9998
-10.1198;9.99987;-10.9998
-10.1228;9.99987;-10.9998
-10.1258;9.99986;-10.9998
-10.1288;9.99985;-10.9998
-10.1318;9.99985;-10.9997
-10.1348;9.99984;-10.9997
-10.1377;9.99983;-10.9997
-10.1407;9.99982;-10.9997
-10.1437;9.99982;-10.9997
-10.1467;9.99981;-10.9997
-10.1497;9.9998;-10.9997
-10.1527;9.99979;-10.9996
-10.1557;9.99978;-10.9996
-10.1587;9.99978;-10.9996
-10.1616;9.99977;-10.9996
-10.1646;9.99976;-10.9996
-10.1676;9.99975;-10.9996
-10.1706;9.99974;-10.9996
-10.1736;9.99973;-10.9995
-10.1766;9.99972;-10.9995
-10.1796;9.99971;-10.9995
-10.1825;9.9997;-10.9995
-10.1855;9.99969;-10.9995
-10.1885;9.99968;-10.9995
-10.1915;9.99967;-10.9994
-10.1945;9.99966;-10.9994
-10.1975;9.99965;-10.9994
-10.2005;9.99964;-10.9994
-10.2034;9.99963;-10.9994
-10.2064;9.99962;-10.9994
-10.2094;9.99961;-10.9993
-10.2124;9.9996;-10.9993
-10.2154;9.99959;-10.9993
-10.2184;9.99958;-10.9993
