x;y;z
-10;10;-11
-10.0024;10;-11
-10.0048;10;-11
-10.0072;10;-11
-10.0096;10;-11
-10.012;10;-11
-10.0144;10;-11
-10.0168;10;-11
-10.0192;10;-11
-10.0216;10;-11
-10.024;9.99999;-11
-10.0264;9.99999;-11
-10.0288;9.99999;-11
-10.0312;9.99999;-11
-10.0336;9.99999;-11
-10.036;9.99999;-11
-10.0384;9.99999;-11
-10.0408;9.99999;-11
-10.0432;9.99998;-11
-10.0456;9.99998;-11
-10.048;9.99998;-11
-10.0504;9.99998;-11
-10.0528;9.99998;-11
-10.0552;9.99997;-11
-10.0576;9.99997;-11
-10.06;9.99997;-10.9999
-10.0623;9.99997;-10.9999
-10.0647;9.99996;-10.9999
-10.0671;9.99996;-10.9999
-10.0695;9.99996;-10.9999
-10.0719;9.99995;-10.9999
-10.0743;9.99995;-10.9999
-10.0767;9.99995;-10.9999
-10.0791;9.99994;-10.9999
-10.0815;9.99994;-10.9999
-10.0839;9.99994;-10.9999
-10.0863;9.99993;-10.9999
-10.0887;9.99993;-10.9999
-10.0911;9.99993;-10.9999
-10.0935;9.99992;-10.9999
-10.0959;9.99992;-10.9999
-10.0983;9.99991;-10.9999
-10.1007;9.99991;-10.9998
-10.1031;9.99991;-10.9998
-10.1054;9.9999;-10.9998
-10.1078;9.9999;-10.9998
-10.1102;9.99989;-10.9998
-10.1126;9.99989;-10.9998
-10.115;9.99988;-10.9998
-10.1174;9.99988;-10.9998
-10.1198;9.99987;-10.9998
-10.1222;9.99987;-10.9998
-10.1246;9.99986;-10.9998
-10.127;9.99986;-10.9998
-10.1294;9.99985;-10.9997
-10.1318;9.99985;-10.9997
-10.1342;9.99984;-10.9997
-10.1365;9.99983;-10.9997
-10.1389;9.99983;-10.9997
-10.1413;9.99982;-10.9997
-10.1437;9.99982;-10.9997
-10.1461;9.99981;-10.9997
-10.1485;9.9998;-10.9997
-10.1509;9.9998;-10.9997
-10.1533;9.99979;-10.9996
-10.1557;9.99978;-10.9996
-10.1581;9.99978;-10.9996
-10.1605;9.99977;-10.9996
-10.1628;9.99976;-10.9996
-10.1652;9.99976;-10.9996
-10.1676;9.99975;-10.9996
-10.17;9.99974;-10.9996
-10.1724;9.99974;-10.9996
-10.1748;9.99973;-10.9995
-10.1772;9.99972;-10.9995
-10.1796;9.99971;-10.9995
-10.182;9.99971;-10.9995
-10.1843;9.9997;-10.9995
-10.1867;9.99969;-10.9995
-10.1891;9.99968;-10.9995
-10.1915;9.99967;-10.9994
-10.1939;9.99967;-10.9994
-10.1963;9.99966;-10.9994
-10.1987;9.99965;-10.9994
-10.2011;9.99964;-10.9994
-10.2034;9.99963;-10.9994
-10.2058;9.99962;-10.9994
-10.2082;9.99961;-10.9993
-10.2106;9.99961;-10.9993
-10.213;9.9996;-10.9993
-10.2154;9.99959;-10.9993
-10.2178;9.99958;-10.9993
-10.2201;9.99957;-10.9993
-10.2225;9.99956;-10.9993
-10.2249;9.99955;-10.9992
-10.2273;9.99954;-10.9992
-10.2297;9.99953;-10.9992
-10.2321;9.99952;-10.9992
-10.2345;9.99951;-10.9992
-10.2368;9.9995;-10.9992
-10.2392;9.99949;-10.9991
-10.2416;9.99948;-10.9991
-10.244;9.99947;-10.9991
-10.2464;9.99946;-10.9991
-10.2488;9.99945;-10.9991
-10.2511;9.99944;-10.9991
-10.2535;9.99943;-10.999
-10.2559;9.99942;-10.999
-10.2583;9.99941;-10.999
-10.2607;9.9994;-10.999
-10.2631;9.99939;-10.999
-10.2654;9.99937;-10.9989
-10.2678;9.99936;-10.9989
-10.2702;9.99935;-10.9989
-10.2726;9.99934;-10.9989
-10.275;9.99933;-10.9989
-10.2774;9.99932;-10.9988
-10.2797;9.9993;-10.9988
-10.2821;9.99929;-10.9988
-10.2845;9.99928;-10.9988
-10.2869;9.99927;-10.9988
-10.2893;9.99926;-10.9987
-10.2916;9.99924;-10.9987
-10.294;9.99923;-10.9987
-10.2964;9.99922;-10.9987
-10.2988;9.99921;-10.9987
-10.3012;9.99919;-10.9986
-10.3035;9.99918;-10.9986
-10.3059;9.99917;-10.9986
-10.3083;9.99916;-10.9986
-10.3107;9.99914;-10.9986
-10.3131;9.99913;-10.9985
-10.3154;9.99912;-10.9985
-10.3178;9.9991;-10.9985
-10.3202;9.99909;-10.9985
-10.3226;9.99908;-10.9984
-10.325;9.99906;-10.9984
-10.3273;9.99905;-10.9984
-10.3297;9.99903;-10.9984
-10.3321;9.99902;-10.9983
-10.3345;9.99901;-10.9983
-10.3369;9.99899;-10.9983
-10.3392;9.99898;-10.9983
-10.3416;9.99896;-10.9982
-10.344;9.99895;-10.9982
-10.3464;9.99893;-10.9982
-10.3487;9.99892;-10.9982
-10.3511;9.99891;-10.9981
-10.3535;9.99889;-10.9981
-10.3559;9.99888;-10.9981
-10.3583;9.99886;-10.9981
-10.3606;9.99885;-10.998
-10.363;9.99883;-10.998
-10.3654;9.99881;-10.998
-10.3678;9.9988;-10.998
-10.3701;9.99878;-10.9979
-10.3725;9.99877;-10.9979
-10.3749;9.99875;-10.9979
-10.3773;9.99874;-10.9979
-10.3796;9.99872;-10.9978
-10.382;9.9987;-10.9978
-10.3844;9.99869;-10.9978
-10.3868;9.99867;-10.9978
-10.3891;9.99866;-10.9977
-10.3915;9.99864;-10.9977
-10.3939;9.99862;-10.9977
-10.3963;9.99861;-10.9976
-10.3986;9.99859;-10.9976
-10.401;9.99857;-10.9976
-10.4034;9.99856;-10.9976
-10.4058;9.99854;-10.9975
-10.4081;9.99852;-10.9975
-10.4105;9.9985;-10.9975
-10.4129;9.99849;-10.9974
-10.4152;9.99847;-10.9974
-10.4176;9.99845;-10.9974
-10.42;9.99843;-10.9974
-10.4224;9.99842;-10.9973
-10.4247;9.9984;-10.9973
-10.4271;9.99838;-10.9973
-10.4295;9.99836;-10.9972
-10.4319;9.99834;-10.9972
-10.4342;9.99833;-10.9972
-10.4366;9.99831;-10.9971
-10.439;9.99829;-10.9971
-10.4413;9.99827;-10.9971
-10.4437;9.99825;-10.997
-10.4461;9.99823;-10.997
-10.4485;9.99821;-10.997
-10.4508;9.9982;-10.9969
-10.4532;9.99818;-10.9969
-10.4556;9.99816;-10.9969
-10.4579;9.99814;-10.9969
-10.4603;9.99812;-10.9968
-10.4627;9.9981;-10.9968
-10.465;9.99808;-10.9968
-10.4674;9.99806;-10.9967
-10.4698;9.99804;-10.9967
-10.4722;9.99802;-10.9967
-10.4745;9.998;-10.9966
-10.4769;9.99798;-10.9966
-10.4793;9.99796;-10.9966
-10.4816;9.99794;-10.9965
-10.484;9.99792;-10.9965
-10.4864;9.9979;-10.9964
-10.4887;9.99788;-10.9964
-10.4911;9.99786;-10.9964
-10.4935;9.99784;-10.9963
-10.4958;9.99782;-10.9963
-10.4982;9.9978;-10.9963
-10.5006;9.99778;-10.9962
-10.5029;9.99776;-10.9962
-10.5053;9.99773;-10.9962
-10.5077;9.99771;-10.9961
-10.51;9.99769;-10.9961
-10.5124;9.99767;-10.9961
-10.5148;9.99765;-10.996
-10.5171;9.99763;-10.996
-10.5195;9.99761;-10.9959
-10.5219;9.99758;-10.9959
-10.5242;9.99756;-10.9959
-10.5266;9.99754;-10.9958
-10.529;9.99752;-10.9958
-10.5313;9.9975;-10.9958
-10.5337;9.99747;-10.9957
-10.5361;9.99745;-10.9957
-10.5384;9.99743;-10.9956
-10.5408;9.99741;-10.9956
-10.5432;9.99738;-10.9956
-10.5455;9.99736;-10.9955
-10.5479;9.99734;-10.9955
-10.5503;9.99731;-10.9955
-10.5526;9.99729;-10.9954
-10.555;9.99727;-10.9954
-10.5573;9.99724;-10.9953
-10.5597;9.99722;-10.9953
-10.5621;9.9972;-10.9953
-10.5644;9.99717;-10.9952
-10.5668;9.99715;-10.9952
-10.5692;9.99713;-10.9951
-10.5715;9.9971;-10.9951
-10.5739;9.99708;-10.9951
-10.5763;9.99705;-10.995
-10.5786;9.99703;-10.995
-10.581;9.99701;-10.9949
-10.5833;9.99698;-10.9949
-10.5857;9.99696;-10.9948
-10.5881;9.99693;-10.9948
-10.5904;9.99691;-10.9948
-10.5928;9.99688;-10.9947
-10.5951;9.99686;-10.9947
-10.5975;9.99683;-10.9946
-10.5999;9.99681;-10.9946
-10.6022;9.99678;-10.9946
-10.6046;9.99676;-10.9945
-10.6069;9.99673;-10.9945
-10.6093;9.99671;-10.9944
-10.6117;9.99668;-10.9944
-10.614;9.99666;-10.9943
-10.6164;9.99663;-10.9943
-10.6187;9.9966;-10.9943
-10.6211;9.99658;-10.9942
-10.6235;9.99655;-10.9942
-10.6258;9.99653;-10.9941
-10.6282;9.9965;-10.9941
-10.6305;9.99647;-10.994
-10.6329;9.99645;-10.994
-10.6353;9.99642;-10.9939
-10.6376;9.99639;-10.9939
-10.64;9.99637;-10.9938
-10.6423;9.99634;-10.9938
-10.6447;9.99631;-10.9938
-10.6471;9.99629;-10.9937
-10.6494;9.99626;-10.9937
-10.6518;9.99623;-10.9936
-10.6541;9.99621;-10.9936
-10.6565;9.99618;-10.9935
-10.6588;9.99615;-10.9935
-10.6612;9.99612;-10.9934
-10.6636;9.9961;-10.9934
-10.6659;9.99607;-10.9933
-10.6683;9.99604;-10.9933
-10.6706;9.99601;-10.9932
-10.673;9.99598;-10.9932
-10.6753;9.99596;-10.9932
-10.6777;9.99593;-10.9931
-10.68;9.9959;-10.9931
-10.6824;9.99587;-10.993
-10.6848;9.99584;-10.993
-10.6871;9.99581;-10.9929
-10.6895;9.99579;-10.9929
-10.6918;9.99576;-10.9928
-10.6942;9.99573;-10.9928
-10.6965;9.9957;-10.9927
-10.6989;9.99567;-10.9927
-10.7012;9.99564;-10.9926
-10.7036;9.99561;-10.9926
-10.7059;9.99558;-10.9925
-10.7083;9.99555;-10.9925
-10.7107;9.99552;-10.9924
-10.713;9.99549;-10.9924
-10.7154;9.99546;-10.9923
-10.7177;9.99543;-10.9923
-10.7201;9.9954;-10.9922
-10.7224;9.99537;-10.9922
-10.7248;9.99534;-10.9921
-10.7271;9.99531;-10.9921
-10.7295;9.99528;-10.992
-10.7318;9.99525;-10.992
-10.7342;9.99522;-10.9919
-10.7365;9.99519;-10.9919
-10.7389;9.99516;-10.9918
-10.7412;9.99513;-10.9917
-10.7436;9.9951;-10.9917
-10.7459;9.99507;-10.9916
-10.7483;9.99504;-10.9916
-10.7506;9.99501;-10.9915
-10.753;9.99497;-10.9915
-10.7553;9.99494;-10.9914
-10.7577;9.99491;-10.9914
-10.76;9.99488;-10.9913
-10.7624;9.99485;-10.9913
-10.7647;9.99482;-10.9912
-10.7671;9.99478;-10.9912
-10.7694;9.99475;-10.9911
-10.7718;9.99472;-10.9911
-10.7741;9.99469;-10.991
-10.7765;9.99466;-10.9909
-10.7788;9.99462;-10.9909
-10.7812;9.99459;-10.9908
-10.7835;9.99456;-10.9908
-10.7859;9.99453;-10.9907
-10.7882;9.99449;-10.9907
-10.7906;9.99446;-10.9906
-10.7929;9.99443;-10.9906
-10.7953;9.99439;-10.9905
-10.7976;9.99436;-10.9904
-10.8;9.99433;-10.9904
-10.8023;9.9943;-10.9903
-10.8047;9.99426;-10.9903
-10.807;9.99423;-10.9902
-10.8094;9.99419;-10.9902
-10.8117;9.99416;-10.9901
-10.8141;9.99413;-10.99
-10.8164;9.99409;-10.99
-10.8188;9.99406;-10.9899
-10.8211;9.99403;-10.9899
-10.8234;9.99399;-10.9898
-10.8258;9.99396;-10.9898
-10.8281;9.99392;-10.9897
-10.8305;9.99389;-10.9896
-10.8328;9.99385;-10.9896
-10.8352;9.99382;-10.9895
-10.8375;9.99378;-10.9895
-10.8399;9.99375;-10.9894
-10.8422;9.99371;-10.9893
-10.8446;9.99368;-10.9893
-10.8469;9.99364;-10.9892
-10.8492;9.99361;-10.9892
-10.8516;9.99357;-10.9891
-10.8539;9.99354;-10.989
-10.8563;9.9935;-10.989
-10.8586;9.99347;-10.9889
-10.861;9.99343;-10.9889
-10.8633;9.9934;-10.9888
-10.8657;9.99336;-10.9887
-10.868;9.99332;-10.9887
-10.8703;9.99329;-10.9886
-10.8727;9.99325;-10.9886
-10.875;9.99322;-10.9885
-10.8774;9.99318;-10.9884
-10.8797;9.99314;-10.9884
-10.8821;9.99311;-10.9883
-10.8844;9.99307;-10.9883
-10.8867;9.99303;-10.9882
-10.8891;9.993;-10.9881
-10.8914;9.99296;-10.9881
-10.8938;9.99292;-10.988
-10.8961;9.99289;-10.9879
-10.8984;9.99285;-10.9879
-10.9008;9.99281;-10.9878
-10.9031;9.99277;-10.9878
-10.9055;9.99274;-10.9877
-10.9078;9.9927;-10.9876
-10.9101;9.99266;-10.9876
-10.9125;9.99262;-10.9875
-10.9148;9.99259;-10.9874
-10.9172;9.99255;-10.9874
-10.9195;9.99251;-10.9873
-10.9218;9.99247;-10.9872
-10.9242;9.99243;-10.9872
-10.9265;9.9924;-10.9871
-10.9289;9.99236;-10.987
-10.9312;9.99232;-10.987
-10.9335;9.99228;-10.9869
-10.9359;9.99224;-10.9868
-10.9382;9.9922;-10.9868
-10.9406;9.99216;-10.9867
-10.9429;9.99213;-10.9866
-10.9452;9.99209;-10.9866
-10.9476;9.99205;-10.9865
-10.9499;9.99201;-10.9864
-10.9522;9.99197;-10.9864
-10.9546;9.99193;-10.9863
-10.9569;9.99189;-10.9862
-10.9593;9.99185;-10.9862
-10.9616;9.99181;-10.9861
-10.9639;9.99177;-10.986
-10.9663;9.99173;-10.986
-10.9686;9.99169;-10.9859
-10.9709;9.99165;-10.9858
-10.9733;9.99161;-10.9858
-10.9756;9.99157;-10.9857
-10.978;9.99153;-10.9856
-10.9803;9.99149;-10.9856
-10.9826;9.99145;-10.9855
-10.985;9.99141;-10.9854
-10.9873;9.99137;-10.9854
-10.9896;9.99133;-10.9853
-10.992;9.99129;-10.9852
-10.9943;9.99125;-10.9852
-10.9966;9.9912;-10.9851
-10.999;9.99116;-10.985
-11.0013;9.99112;-10.9849
-11.0036;9.99108;-10.9849
-11.006;9.99104;-10.9848
-11.0083;9.991;-10.9847
-11.0106;9.99096;-10.9847
-11.013;9.99091;-10.9846
-11.0153;9.99087;-10.9845
-11.0176;9.99083;-10.9844
-11.02;9.99079;-10.9844
-11.0223;9.99075;-10.9843
-11.0246;9.9907;-10.9842
-11.027;9.99066;-10.9842
-11.0293;9.99062;-10.9841
-11.0316;9.99058;-10.984
