x;y;z
10;-11.1421;-12.7423
0;-11.1422;-12.7423
3.0002e-05;-11.1422;-12.7424
3.00039e-05;-11.1423;-12.7425
3.00059e-05;-11.1423;-12.7425
3.00079e-05;-11.1423;-12.7426
3.00099e-05;-11.1424;-12.7426
3.00118e-05;-11.1424;-12.7427
3.00138e-05;-11.1425;-12.7428
3.00158e-05;-11.1425;-12.7428
3.00178e-05;-11.1426;-12.7429
3.00197e-05;-11.1426;-12.7429
3.00217e-05;-11.1427;-12.743
3.00237e-05;-11.1427;-12.7431
3.00257e-05;-11.1428;-12.7431
3.00276e-05;-11.1428;-12.7432
3.00296e-05;-11.1429;-12.7432
3.00316e-05;-11.1429;-12.7433
3.00336e-05;-11.1429;-12.7434
3.00356e-05;-11.143;-12.7434
3.00375e-05;-11.143;-12.7435
3.00395e-05;-11.1431;-12.7435
3.00415e-05;-11.1431;-12.7436
3.00435e-05;-11.1432;-12.7437
3.00454e-05;-11.1432;-12.7437
3.00474e-05;-11.1433;-12.7438
3.00494e-05;-11.1433;-12.7438
3.00514e-05;-11.1434;-12.7439
3.00533e-05;-11.1434;-12.744
3.00553e-05;-11.1434;-12.744
3.00573e-05;-11.1435;-12.7441
3.00593e-05;-11.1435;-12.7442
3.00612e-05;-11.1436;-12.7442
3.00632e-05;-11.1436;-12.7443
3.00652e-05;-11.1437;-12.7443
3.00672e-05;-11.1437;-12.7444
3.00691e-05;-11.1438;-12.7445
3.00711e-05;-11.1438;-12.7445
3.00731e-05;-11.1439;-12.7446
3.00751e-05;-11.1439;-12.7446
3.0077e-05;-11.144;-12.7447
3.0079e-05;-11.144;-12.7448
3.0081e-05;-11.144;-12.7448
3.0083e-05;-11.1441;-12.7449
3.00849e-05;-11.1441;-12.7449
3.00869e-05;-11.1442;-12.745
3.00889e-05;-11.1442;-12.7451
3.00909e-05;-11.1443;-12.7451
3.00928e-05;-11.1443;-12.7452
3.00948e-05;-11.1444;-12.7452
3.00968e-05;-11.1444;-12.7453
3.00988e-05;-11.1445;-12.7454
3.01007e-05;-11.1445;-12.7454
3.01027e-05;-11.1446;-12.7455
3.01047e-05;-11.1446;-12.7455
3.01067e-05;-11.1446;-12.7456
3.01086e-05;-11.1447;-12.7457
3.01106e-05;-11.1447;-12.7457
3.01126e-05;-11.1448;-12.7458
3.01146e-05;-11.1448;-12.7458
3.01165e-05;-11.1449;-12.7459
3.01185e-05;-11.1449;-12.746
3.01205e-05;-11.145;-12.746
3.01225e-05;-11.145;-12.7461
3.01244e-05;-11.1451;-12.7461
3.01264e-05;-11.1451;-12.7462
3.01284e-05;-11.1451;-12.7463
3.01304e-05;-11.1452;-12.7463
3.01323e-05;-11.1452;-12.7464
3.01343e-05;-11.1453;-12.7465
3.01363e-05;-11.1453;-12.7465
3.01383e-05;-11.1454;-12.7466
3.01402e-05;-11.1454;-12.7466
3.01422e-05;-11.1455;-12.7467
3.01442e-05;-11.1455;-12.7468
3.01462e-05;-11.1456;-12.7468
3.01481e-05;-11.1456;-12.7469
3.01501e-05;-11.1457;-12.7469
3.01521e-05;-11.1457;-12.747
3.01541e-05;-11.1457;-12.7471
3.0156e-05;-11.1458;-12.7471
3.0158e-05;-11.1458;-12.7472
3.016e-05;-11.1459;-12.7472
3.0162e-05;-11.1459;-12.7473
3.01639e-05;-11.146;-12.7474
3.01659e-05;-11.146;-12.7474
3.01679e-05;-11.1461;-12.7475
3.01699e-05;-11.1461;-12.7475
3.01718e-05;-11.1462;-12.7476
3.01738e-05;-11.1462;-12.7477
3.01758e-05;-11.1463;-12.7477
3.01778e-05;-11.1463;-12.7478
3.01797e-05;-11.1463;-12.7478
3.01817e-05;-11.1464;-12.7479
3.01837e-05;-11.1464;-12.748
3.01857e-05;-11.1465;-12.748
3.01876e-05;-11.1465;-12.7481
3.01896e-05;-11.1466;-12.7481
3.01916e-05;-11.1466;-12.7482
3.01936e-05;-11.1467;-12.7483
3.01955e-05;-11.1467;-12.7483
3.01975e-05;-11.1468;-12.7484
3.01995e-05;-11.1468;-12.7484
3.02015e-05;-11.1468;-12.7485
3.02034e-05;-11.1469;-12.7486
3.02054e-05;-11.1469;-12.7486
3.02074e-05;-11.147;-12.7487
3.02094e-05;-11.147;-12.7487
3.02113e-05;-11.1471;-12.7488
3.02133e-05;-11.1471;-12.7489
3.02153e-05;-11.1472;-12.7489
3.02173e-05;-11.1472;-12.749
3.02192e-05;-11.1473;-12.7491
3.02212e-05;-11.1473;-12.7491
3.02232e-05;-11.1474;-12.7492
3.02252e-05;-11.1474;-12.7492
3.02271e-05;-11.1474;-12.7493
3.02291e-05;-11.1475;-12.7494
3.02311e-05;-11.1475;-12.7494
3.02331e-05;-11.1476;-12.7495
3.0235e-05;-11.1476;-12.7495
3.0237e-05;-11.1477;-12.7496
3.0239e-05;-11.1477;-12.7497
3.0241e-05;-11.1478;-12.7497
3.02429e-05;-11.1478;-12.7498
3.02449e-05;-11.1479;-12.7498
3.02469e-05;-11.1479;-12.7499
3.02489e-05;-11.148;-12.75
3.02508e-05;-11.148;-12.75
3.02528e-05;-11.148;-12.7501
3.02548e-05;-11.1481;-12.7501
3.02568e-05;-11.1481;-12.7502
3.02587e-05;-11.1482;-12.7503
3.02607e-05;-11.1482;-12.7503
3.02627e-05;-11.1483;-12.7504
3.02647e-05;-11.1483;-12.7504
3.02666e-05;-11.1484;-12.7505
3.02686e-05;-11.1484;-12.7506
3.02706e-05;-11.1485;-12.7506
3.02726e-05;-11.1485;-12.7507
3.02745e-05;-11.1486;-12.7507
3.02765e-05;-11.1486;-12.7508
3.02785e-05;-11.1486;-12.7509
3.02805e-05;-11.1487;-12.7509
3.02824e-05;-11.1487;-12.751
3.02844e-05;-11.1488;-12.751
3.02864e-05;-11.1488;-12.7511
3.02884e-05;-11.1489;-12.7512
3.02903e-05;-11.1489;-12.7512
3.02923e-05;-11.149;-12.7513
3.02943e-05;-11.149;-12.7514
3.02963e-05;-11.1491;-12.7514
3.02982e-05;-11.1491;-12.7515
3.03002e-05;-11.1492;-12.7515
3.03022e-05;-11.1492;-12.7516
3.03042e-05;-11.1492;-12.7517
3.03061e-05;-11.1493;-12.7517
3.03081e-05;-11.1493;-12.7518
3.03101e-05;-11.1494;-12.7518
3.03121e-05;-11.1494;-12.7519
3.0314e-05;-11.1495;-12.752
3.0316e-05;-11.1495;-12.752
3.0318e-05;-11.1496;-12.7521
3.032e-05;-11.1496;-12.7521
3.03219e-05;-11.1497;-12.7522
3.03239e-05;-11.1497;-12.7523
3.03259e-05;-11.1497;-12.7523
3.03279e-05;-11.1498;-12.7524
3.03298e-05;-11.1498;-12.7524
3.03318e-05;-11.1499;-12.7525
3.03338e-05;-11.1499;-12.7526
3.03358e-05;-11.15;-12.7526
3.03377e-05;-11.15;-12.7527
