x;y;z
0;0;0
-6.55291e-08;3.25516e-07;-6.11936e-08
-1.96591e-07;9.76498e-07;-1.83527e-07
-3.93188e-07;1.9529e-06;-3.66947e-07
-6.55325e-07;3.25467e-06;-6.114e-07
-9.83005e-07;4.88176e-06;-9.16832e-07
-1.37623e-06;6.83412e-06;-1.28319e-06
-1.835e-06;9.11171e-06;-1.71042e-06
-2.35933e-06;1.17145e-05;-2.19847e-06
-2.94922e-06;1.46424e-05;-2.74728e-06
-3.60466e-06;1.78953e-05;-3.35681e-06
-4.32566e-06;2.14733e-05;-4.02699e-06
-5.11224e-06;2.53763e-05;-4.75778e-06
-5.96438e-06;2.96042e-05;-5.54912e-06
-6.88209e-06;3.4157e-05;-6.40096e-06
-7.86538e-06;3.90346e-05;-7.31325e-06
-8.91424e-06;4.42371e-05;-8.28592e-06
-1.00287e-05;4.97642e-05;-9.31894e-06
-1.12087e-05;5.56161e-05;-1.04122e-05
-1.24544e-05;6.17925e-05;-1.15658e-05
-1.37656e-05;6.82936e-05;-1.27795e-05
-1.51424e-05;7.51193e-05;-1.40533e-05
-1.65848e-05;8.22694e-05;-1.53872e-05
-1.80928e-05;8.9744e-05;-1.67811e-05
-1.96664e-05;9.75429e-05;-1.8235e-05
-2.13056e-05;0.000105666;-1.97488e-05
-2.30104e-05;0.000114114;-2.13225e-05
-2.47809e-05;0.000122886;-2.29559e-05
-2.6617e-05;0.000131982;-2.46492e-05
-2.85186e-05;0.000141402;-2.64021e-05
-3.04859e-05;0.000151147;-2.82146e-05
-3.25189e-05;0.000161215;-3.00868e-05
-3.46174e-05;0.000171607;-3.20185e-05
-3.67816e-05;0.000182324;-3.40097e-05
-3.90114e-05;0.000193364;-3.60603e-05
-4.13069e-05;0.000204728;-3.81703e-05
-4.3668e-05;0.000216416;-4.03396e-05
-4.60947e-05;0.000228428;-4.25682e-05
-4.85871e-05;0.000240764;-4.4856e-05
-5.11451e-05;0.000253423;-4.7203e-05
-5.37688e-05;0.000266406;-4.96091e-05
-5.64582e-05;0.000279712;-5.20743e-05
-5.92132e-05;0.000293342;-5.45984e-05
-6.20338e-05;0.000307296;-5.71816e-05
-6.49202e-05;0.000321573;-5.98236e-05
-6.78722e-05;0.000336173;-6.25245e-05
-7.08898e-05;0.000351097;-6.52842e-05
-7.39732e-05;0.000366344;-6.81026e-05
-7.71222e-05;0.000381914;-7.09797e-05
-8.03369e-05;0.000397807;-7.39155e-05
-8.36172e-05;0.000414024;-7.69098e-05
-8.69633e-05;0.000430563;-7.99627e-05
-9.0375e-05;0.000447426;-8.30741e-05
-9.38524e-05;0.000464612;-8.62439e-05
-9.73956e-05;0.000482121;-8.94721e-05
-0.000101004;0.000499952;-9.27586e-05
-0.000104679;0.000518107;-9.61033e-05
-0.000108419;0.000536584;-9.95063e-05
-0.000112225;0.000555384;-0.000102967
-0.000116097;0.000574507;-0.000106487
-0.000120034;0.000593952;-0.000110064
-0.000124037;0.00061372;-0.000113699
-0.000128106;0.000633811;-0.000117393
-0.00013224;0.000654224;-0.000121144
-0.00013644;0.00067496;-0.000124953
-0.000140706;0.000696018;-0.00012882
-0.000145038;0.000717399;-0.000132744
-0.000149435;0.000739102;-0.000136726
-0.000153898;0.000761127;-0.000140766
-0.000158427;0.000783475;-0.000144864
-0.000163022;0.000806144;-0.000149019
-0.000167682;0.000829136;-0.000153231
-0.000172408;0.00085245;-0.000157501
-0.0001772;0.000876086;-0.000161829
-0.000182057;0.000900044;-0.000166213
-0.00018698;0.000924324;-0.000170655
-0.000191969;0.000948926;-0.000175154
-0.000197024;0.00097385;-0.000179711
-0.000202145;0.000999096;-0.000184324
-0.000207331;0.00102466;-0.000188994
-0.000212583;0.00105055;-0.000193722
-0.000217901;0.00107676;-0.000198506
-0.000223284;0.0011033;-0.000203348
-0.000228733;0.00113015;-0.000208246
