x;y;z
0;0;0
-3.27646e-08;1.62782e-07;-3.06236e-08
-1.3106e-07;6.51104e-07;-1.22468e-07
-2.94889e-07;1.46492e-06;-2.75478e-07
-5.24257e-07;2.60417e-06;-4.89602e-07
-8.19165e-07;4.06882e-06;-7.64786e-07
-1.17962e-06;5.85882e-06;-1.10098e-06
-1.60562e-06;7.97411e-06;-1.49812e-06
-2.09717e-06;1.04146e-05;-1.95616e-06
-2.65427e-06;1.31804e-05;-2.47505e-06
-3.27694e-06;1.62713e-05;-3.05472e-06
-3.96516e-06;1.96873e-05;-3.69514e-06
-4.71895e-06;2.34283e-05;-4.39624e-06
-5.5383e-06;2.74944e-05;-5.15798e-06
-6.42323e-06;3.18854e-05;-5.98029e-06
-7.37373e-06;3.66013e-05;-6.86313e-06
-8.38981e-06;4.16421e-05;-7.80644e-06
-9.47147e-06;4.70077e-05;-8.81016e-06
-1.06187e-05;5.2698e-05;-9.87425e-06
-1.18315e-05;5.87131e-05;-1.09987e-05
-1.311e-05;6.50528e-05;-1.21833e-05
-1.4454e-05;7.17172e-05;-1.34282e-05
-1.58636e-05;7.87061e-05;-1.47332e-05
-1.73388e-05;8.60195e-05;-1.60983e-05
-1.88796e-05;9.36574e-05;-1.75235e-05
-2.0486e-05;0.00010162;-1.90086e-05
-2.2158e-05;0.000109906;-2.05537e-05
-2.38957e-05;0.000118518;-2.21587e-05
-2.56989e-05;0.000127453;-2.38235e-05
-2.75678e-05;0.000136712;-2.55481e-05
-2.95023e-05;0.000146296;-2.73324e-05
-3.15024e-05;0.000156204;-2.91764e-05
-3.35681e-05;0.000166436;-3.108e-05
-3.56995e-05;0.000176992;-3.30431e-05
-3.78965e-05;0.000187872;-3.50658e-05
-4.01591e-05;0.000199076;-3.7148e-05
-4.24874e-05;0.000210604;-3.92895e-05
-4.48813e-05;0.000222455;-4.14904e-05
-4.73409e-05;0.000234631;-4.37506e-05
-4.98661e-05;0.00024713;-4.60701e-05
-5.2457e-05;0.000259953;-4.84487e-05
-5.51135e-05;0.0002731;-5.08865e-05
-5.78356e-05;0.00028657;-5.33834e-05
-6.06235e-05;0.000300364;-5.59393e-05
-6.3477e-05;0.000314481;-5.85542e-05
-6.63961e-05;0.000328922;-6.1228e-05
-6.93809e-05;0.000343686;-6.39608e-05
-7.24314e-05;0.000358774;-6.67523e-05
-7.55476e-05;0.000374184;-6.96026e-05
-7.87294e-05;0.000389919;-7.25116e-05
-8.1977e-05;0.000405976;-7.54793e-05
-8.52902e-05;0.000422356;-7.85056e-05
-8.86691e-05;0.00043906;-8.15905e-05
