x;y;z
0;0;0
-2.09693e-08;1.04181e-07;-1.95991e-08
-8.3879e-08;4.16697e-07;-7.8369e-08
-1.88731e-07;9.37526e-07;-1.76282e-07
-3.35526e-07;1.66664e-06;-3.13311e-07
-5.24268e-07;2.60402e-06;-4.89429e-07
-7.54956e-07;3.74963e-06;-7.04607e-07
-1.02759e-06;5.10345e-06;-9.58819e-07
-1.34218e-06;6.66546e-06;-1.25204e-06
-1.69872e-06;8.43564e-06;-1.58423e-06
-2.09722e-06;1.04139e-05;-1.95538e-06
-2.53767e-06;1.26004e-05;-2.36546e-06
-3.02008e-06;1.49949e-05;-2.81442e-06
-3.54444e-06;1.75974e-05;-3.30226e-06
-4.11077e-06;2.04081e-05;-3.82894e-06
-4.71906e-06;2.34267e-05;-4.39444e-06
-5.36932e-06;2.66533e-05;-4.99872e-06
-6.06154e-06;3.00879e-05;-5.64176e-06
-6.79573e-06;3.37304e-05;-6.32354e-06
-7.57188e-06;3.75808e-05;-7.04402e-06
-8.39001e-06;4.16391e-05;-7.80317e-06
-9.25011e-06;4.59053e-05;-8.60098e-06
-1.01522e-05;5.03793e-05;-9.43741e-06
-1.10962e-05;5.50611e-05;-1.03124e-05
-1.20823e-05;5.99507e-05;-1.1226e-05
-1.31103e-05;6.50481e-05;-1.21782e-05
-1.41803e-05;7.03533e-05;-1.31688e-05
-1.52922e-05;7.58661e-05;-1.4198e-05
-1.64462e-05;8.15866e-05;-1.52656e-05
-1.76421e-05;8.75148e-05;-1.63716e-05
-1.888e-05;9.36507e-05;-1.7516e-05
-2.016e-05;9.99941e-05;-1.86988e-05
-2.14819e-05;0.000106545;-1.992e-05
-2.28458e-05;0.000113304;-2.11795e-05
-2.42517e-05;0.00012027;-2.24772e-05
-2.56995e-05;0.000127444;-2.38133e-05
-2.71894e-05;0.000134825;-2.51876e-05
-2.87213e-05;0.000142413;-2.66001e-05
-3.02952e-05;0.000150209;-2.80508e-05
-3.19111e-05;0.000158213;-2.95396e-05
-3.35689e-05;0.000166424;-3.10666e-05
-3.52688e-05;0.000174842;-3.26317e-05
-3.70107e-05;0.000183468;-3.42349e-05
-3.87946e-05;0.000192301;-3.58761e-05
-4.06205e-05;0.000201341;-3.75553e-05
-4.24884e-05;0.000210588;-3.92726e-05
-4.43984e-05;0.000220043;-4.10278e-05
-4.63503e-05;0.000229705;-4.28209e-05
-4.83443e-05;0.000239574;-4.4652e-05
-5.03802e-05;0.000249651;-4.6521e-05
-5.24582e-05;0.000259934;-4.84278e-05
-5.45782e-05;0.000270425;-5.03724e-05
-5.67403e-05;0.000281123;-5.23549e-05
-5.89443e-05;0.000292027;-5.43751e-05
-6.11904e-05;0.000303139;-5.64331e-05
-6.34785e-05;0.000314458;-5.85288e-05
-6.58086e-05;0.000325984;-6.06622e-05
-6.81808e-05;0.000337717;-6.28333e-05
-7.0595e-05;0.000349657;-6.50421e-05
-7.30512e-05;0.000361803;-6.72884e-05
-7.55494e-05;0.000374157;-6.95723e-05
-7.80897e-05;0.000386717;-7.18938e-05
-8.0672e-05;0.000399485;-7.42529e-05
-8.32964e-05;0.000412459;-7.66494e-05
-8.59627e-05;0.00042564;-7.90834e-05
-8.86712e-05;0.000439028;-8.15549e-05
-9.14216e-05;0.000452622;-8.40638e-05
-9.42142e-05;0.000466424;-8.66101e-05
-9.70487e-05;0.000480432;-8.91938e-05
-9.99253e-05;0.000494646;-9.18149e-05
-0.000102844;0.000509068;-9.44732e-05
-0.000105805;0.000523696;-9.71688e-05
-0.000108807;0.00053853;-9.99018e-05
-0.000111852;0.000553572;-0.000102672
-0.000114939;0.000568819;-0.000105479
-0.000118068;0.000584274;-0.000108324
-0.000121239;0.000599934;-0.000111206
-0.000124452;0.000615802;-0.000114124
-0.000127707;0.000631876;-0.00011708
-0.000131004;0.000648156;-0.000120073
-0.000134343;0.000664642;-0.000123103
-0.000137724;0.000681335;-0.00012617
-0.000141148;0.000698235;-0.000129275
-0.000144613;0.000715341;-0.000132416
-0.000148121;0.000732653;-0.000135594
-0.00015167;0.000750171;-0.000138809
-0.000155262;0.000767896;-0.00014206
-0.000158895;0.000785827;-0.000145349
-0.000162571;0.000803964;-0.000148674
-0.000166289;0.000822307;-0.000152037
-0.000170049;0.000840856;-0.000155436
-0.00017385;0.000859612;-0.000158872
-0.000177694;0.000878574;-0.000162344
-0.000181581;0.000897742;-0.000165854
-0.000185509;0.000917116;-0.0001694
-0.000189479;0.000936696;-0.000172982
-0.000193491;0.000956482;-0.000176601
-0.000197546;0.000976474;-0.000180257
-0.000201642;0.000996672;-0.00018395
-0.000205781;0.00101708;-0.000187678
-0.000209961;0.00103769;-0.000191444
-0.000214184;0.0010585;-0.000195246
-0.000218449;0.00107952;-0.000199084
-0.000222756;0.00110075;-0.000202959
-0.000227105;0.00112218;-0.00020687
-0.000231496;0.00114382;-0.000210818
-0.000235929;0.00116567;-0.000214802
-0.000240404;0.00118772;-0.000218822
-0.000244922;0.00120998;-0.000222879
-0.000249481;0.00123244;-0.000226971
-0.000254083;0.00125511;-0.0002311
-0.000258726;0.00127798;-0.000235266
-0.000263412;0.00130106;-0.000239467
-0.00026814;0.00132434;-0.000243705
-0.00027291;0.00134783;-0.000247979
-0.000277722;0.00137153;-0.000252289
-0.000282576;0.00139543;-0.000256635
-0.000287472;0.00141954;-0.000261017
-0.000292411;0.00144385;-0.000265435
-0.000297391;0.00146837;-0.000269889
-0.000302414;0.00149309;-0.000274379
-0.000307478;0.00151802;-0.000278905
-0.000312585;0.00154316;-0.000283467
-0.000317734;0.0015685;-0.000288065
-0.000322925;0.00159404;-0.000292699
-0.000328158;0.00161979;-0.000297368
-0.000333433;0.00164575;-0.000302073
-0.000338751;0.00167191;-0.000306815
-0.00034411;0.00169828;-0.000311592
-0.000349512;0.00172485;-0.000316404
-0.000354956;0.00175163;-0.000321253
-0.000360441;0.00177861;-0.000326137
-0.000365969;0.00180579;-0.000331056
-0.000371539;0.00183319;-0.000336012
-0.000377152;0.00186078;-0.000341003
-0.000382806;0.00188859;-0.000346029
-0.000388502;0.0019166;-0.000351092
-0.000394241;0.00194481;-0.000356189
-0.000400022;0.00197323;-0.000361322
-0.000405845;0.00200185;-0.000366491
-0.000411709;0.00203068;-0.000371695
-0.000417617;0.00205971;-0.000376934
-0.000423566;0.00208895;-0.000382209
-0.000429557;0.00211839;-0.00038752
-0.000435591;0.00214804;-0.000392865
-0.000441666;0.00217789;-0.000398246
-0.000447784;0.00220795;-0.000403662
-0.000453944;0.00223821;-0.000409114
-0.000460146;0.00226868;-0.0004146
-0.00046639;0.00229935;-0.000420122
-0.000472676;0.00233022;-0.000425679
-0.000479005;0.0023613;-0.000431271
-0.000485375;0.00239259;-0.000436899
-0.000491788;0.00242408;-0.000442561
-0.000498243;0.00245578;-0.000448259
-0.00050474;0.00248767;-0.000453991
-0.000511279;0.00251978;-0.000459759
-0.00051786;0.00255209;-0.000465561
-0.000524484;0.0025846;-0.000471399
-0.000531149;0.00261732;-0.000477272
-0.000537857;0.00265024;-0.000483179
-0.000544607;0.00268337;-0.000489121
-0.000551399;0.0027167;-0.000495098
-0.000558233;0.00275024;-0.00050111
-0.00056511;0.00278398;-0.000507157
-0.000572028;0.00281792;-0.000513239
-0.000578989;0.00285207;-0.000519355
-0.000585992;0.00288642;-0.000525506
-0.000593037;0.00292098;-0.000531692
-0.000600124;0.00295574;-0.000537913
-0.000607253;0.00299071;-0.000544168
-0.000614424;0.00302588;-0.000550457
