x;y;z
-7.32939;-11.1421;-12.7423
10;-11.1422;-12.7423
10;-11.1422;-12.7424
10;-11.1423;-12.7425
10;-11.1423;-12.7425
10;-11.1423;-12.7426
10;-11.1424;-12.7426
10;-11.1424;-12.7427
10;-11.1425;-12.7428
10;-11.1425;-12.7428
10;-11.1426;-12.7429
10;-11.1426;-12.7429
10;-11.1427;-12.743
10;-11.1427;-12.7431
10;-11.1428;-12.7431
10;-11.1428;-12.7432
10;-11.1429;-12.7432
10;-11.1429;-12.7433
10;-11.1429;-12.7434
10;-11.143;-12.7434
10;-11.143;-12.7435
10;-11.1431;-12.7435
10;-11.1431;-12.7436
10;-11.1432;-12.7437
10;-11.1432;-12.7437
10;-11.1433;-12.7438
10;-11.1433;-12.7438
10;-11.1434;-12.7439
10;-11.1434;-12.744
10;-11.1434;-12.744
10;-11.1435;-12.7441
10;-11.1435;-12.7442
10;-11.1436;-12.7442
10;-11.1436;-12.7443
10;-11.1437;-12.7443
10;-11.1437;-12.7444
10;-11.1438;-12.7445
10;-11.1438;-12.7445
10;-11.1439;-12.7446
10;-11.1439;-12.7446
10;-11.144;-12.7447
10;-11.144;-12.7448
10;-11.144;-12.7448
10;-11.1441;-12.7449
10;-11.1441;-12.7449
10;-11.1442;-12.745
10;-11.1442;-12.7451
10;-11.1443;-12.7451
10;-11.1443;-12.7452
10;-11.1444;-12.7452
10;-11.1444;-12.7453
10;-11.1445;-12.7454
10;-11.1445;-12.7454
10;-11.1446;-12.7455
10;-11.1446;-12.7455
10;-11.1446;-12.7456
10;-11.1447;-12.7457
10;-11.1447;-12.7457
10;-11.1448;-12.7458
10;-11.1448;-12.7458
10;-11.1449;-12.7459
10;-11.1449;-12.746
10;-11.145;-12.746
10;-11.145;-12.7461
10;-11.1451;-12.7461
10;-11.1451;-12.7462
10;-11.1451;-12.7463
10;-11.1452;-12.7463
10;-11.1452;-12.7464
10;-11.1453;-12.7465
10;-11.1453;-12.7465
10;-11.1454;-12.7466
10;-11.1454;-12.7466
10;-11.1455;-12.7467
10;-11.1455;-12.7468
10;-11.1456;-12.7468
10;-11.1456;-12.7469
