x;y;z
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99998;14;12
9.99998;14;12
9.99998;14;12
9.99998;14;12
9.99997;14;12
9.99997;14;12
9.99997;14;12
9.99996;14;12
9.99996;14;12
9.99996;14;11.9999
9.99995;14;11.9999
9.99995;14;11.9999
9.99994;13.9999;11.9999
9.99994;13.9999;11.9999
9.99993;13.9999;11.9999
9.99993;13.9999;11.9999
9.99992;13.9999;11.9999
9.99992;13.9999;11.9999
9.99991;13.9999;11.9999
9.99991;13.9999;11.9999
9.9999;13.9999;11.9999
9.99989;13.9999;11.9999
9.99989;13.9999;11.9999
9.99988;13.9999;11.9999
9.99988;13.9999;11.9999
9.99987;13.9999;11.9998
9.99986;13.9999;11.9998
9.99985;13.9999;11.9998
9.99985;13.9999;11.9998
9.99984;13.9999;11.9998
9.99983;13.9998;11.9998
9.99982;13.9998;11.9998
9.99982;13.9998;11.9998
9.99981;13.9998;11.9998
9.9998;13.9998;11.9998
9.99979;13.9998;11.9998
9.99978;13.9998;11.9997
9.99977;13.9998;11.9997
9.99977;13.9998;11.9997
9.99976;13.9998;11.9997
9.99975;13.9998;11.9997
9.99974;13.9998;11.9997
9.99973;13.9997;11.9997
9.99972;13.9997;11.9997
9.99971;13.9997;11.9997
9.9997;13.9997;11.9996
9.99969;13.9997;11.9996
9.99968;13.9997;11.9996
9.99967;13.9997;11.9996
9.99965;13.9997;11.9996
9.99964;13.9997;11.9996
9.99963;13.9997;11.9996
9.99962;13.9996;11.9996
9.99961;13.9996;11.9995
9.9996;13.9996;11.9995
9.99958;13.9996;11.9995
9.99957;13.9996;11.9995
9.99956;13.9996;11.9995
9.99955;13.9996;11.9995
9.99953;13.9996;11.9995
9.99952;13.9996;11.9994
9.99951;13.9995;11.9994
9.9995;13.9995;11.9994
9.99948;13.9995;11.9994
9.99947;13.9995;11.9994
9.99945;13.9995;11.9994
9.99944;13.9995;11.9993
9.99943;13.9995;11.9993
9.99941;13.9995;11.9993
9.9994;13.9994;11.9993
9.99938;13.9994;11.9993
9.99937;13.9994;11.9993
9.99935;13.9994;11.9992
9.99934;13.9994;11.9992
9.99932;13.9994;11.9992
9.99931;13.9994;11.9992
9.99929;13.9993;11.9992
9.99927;13.9993;11.9991
9.99926;13.9993;11.9991
9.99924;13.9993;11.9991
9.99923;13.9993;11.9991
9.99921;13.9993;11.9991
9.99919;13.9992;11.999
9.99918;13.9992;11.999
9.99916;13.9992;11.999
9.99914;13.9992;11.999
9.99912;13.9992;11.999
9.99911;13.9992;11.9989
9.99909;13.9991;11.9989
9.99907;13.9991;11.9989
9.99905;13.9991;11.9989
9.99903;13.9991;11.9989
9.99901;13.9991;11.9988
9.999;13.9991;11.9988
9.99898;13.999;11.9988
9.99896;13.999;11.9988
9.99894;13.999;11.9987
9.99892;13.999;11.9987
9.9989;13.999;11.9987
9.99888;13.999;11.9987
9.99886;13.9989;11.9987
9.99884;13.9989;11.9986
9.99882;13.9989;11.9986
9.9988;13.9989;11.9986
9.99878;13.9989;11.9986
9.99876;13.9988;11.9985
9.99874;13.9988;11.9985
9.99871;13.9988;11.9985
9.99869;13.9988;11.9985
9.99867;13.9988;11.9984
9.99865;13.9987;11.9984
9.99863;13.9987;11.9984
9.99861;13.9987;11.9984
9.99858;13.9987;11.9983
9.99856;13.9987;11.9983
9.99854;13.9986;11.9983
9.99852;13.9986;11.9983
9.99849;13.9986;11.9982
9.99847;13.9986;11.9982
9.99845;13.9985;11.9982
9.99842;13.9985;11.9981
9.9984;13.9985;11.9981
9.99837;13.9985;11.9981
9.99835;13.9985;11.9981
9.99833;13.9984;11.998
9.9983;13.9984;11.998
9.99828;13.9984;11.998
9.99825;13.9984;11.9979
9.99823;13.9983;11.9979
9.9982;13.9983;11.9979
9.99818;13.9983;11.9979
9.99815;13.9983;11.9978
9.99813;13.9982;11.9978
9.9981;13.9982;11.9978
9.99807;13.9982;11.9977
9.99805;13.9982;11.9977
9.99802;13.9982;11.9977
9.99799;13.9981;11.9976
9.99797;13.9981;11.9976
9.99794;13.9981;11.9976
9.99791;13.9981;11.9975
9.99789;13.998;11.9975
9.99786;13.998;11.9975
9.99783;13.998;11.9974
