x;y;z
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
10;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99999;14;12
9.99998;14;12
9.99998;14;12
9.99998;14;12
9.99997;14;12
9.99997;14;12
9.99997;14;12
9.99996;14;12
9.99996;14;12
9.99996;14;11.9999
9.99995;14;11.9999
9.99995;14;11.9999
9.99994;13.9999;11.9999
9.99994;13.9999;11.9999
9.99994;13.9999;11.9999
9.99993;13.9999;11.9999
9.99993;13.9999;11.9999
9.99992;13.9999;11.9999
9.99991;13.9999;11.9999
9.99991;13.9999;11.9999
9.9999;13.9999;11.9999
9.9999;13.9999;11.9999
9.99989;13.9999;11.9999
9.99989;13.9999;11.9999
9.99988;13.9999;11.9999
9.99987;13.9999;11.9998
9.99987;13.9999;11.9998
9.99986;13.9999;11.9998
9.99985;13.9999;11.9998
9.99984;13.9999;11.9998
9.99984;13.9998;11.9998
9.99983;13.9998;11.9998
9.99982;13.9998;11.9998
9.99981;13.9998;11.9998
9.9998;13.9998;11.9998
9.9998;13.9998;11.9998
9.99979;13.9998;11.9997
9.99978;13.9998;11.9997
9.99977;13.9998;11.9997
9.99976;13.9998;11.9997
9.99975;13.9998;11.9997
9.99974;13.9998;11.9997
9.99973;13.9997;11.9997
9.99972;13.9997;11.9997
9.99971;13.9997;11.9997
9.9997;13.9997;11.9996
9.99969;13.9997;11.9996
9.99968;13.9997;11.9996
9.99967;13.9997;11.9996
9.99966;13.9997;11.9996
9.99965;13.9997;11.9996
9.99964;13.9997;11.9996
9.99963;13.9997;11.9996
9.99961;13.9996;11.9995
9.9996;13.9996;11.9995
9.99959;13.9996;11.9995
9.99958;13.9996;11.9995
9.99957;13.9996;11.9995
9.99955;13.9996;11.9995
9.99954;13.9996;11.9995
9.99953;13.9996;11.9994
9.99952;13.9995;11.9994
9.9995;13.9995;11.9994
9.99949;13.9995;11.9994
9.99947;13.9995;11.9994
9.99946;13.9995;11.9994
9.99945;13.9995;11.9993
9.99943;13.9995;11.9993
9.99942;13.9995;11.9993
9.9994;13.9994;11.9993
9.99939;13.9994;11.9993
9.99938;13.9994;11.9993
9.99936;13.9994;11.9992
9.99935;13.9994;11.9992
9.99933;13.9994;11.9992
9.99931;13.9994;11.9992
9.9993;13.9993;11.9992
9.99928;13.9993;11.9992
9.99927;13.9993;11.9991
9.99925;13.9993;11.9991
9.99923;13.9993;11.9991
9.99922;13.9993;11.9991
9.9992;13.9993;11.9991
9.99918;13.9992;11.999
9.99917;13.9992;11.999
9.99915;13.9992;11.999
9.99913;13.9992;11.999
9.99911;13.9992;11.999
9.9991;13.9992;11.9989
9.99908;13.9991;11.9989
9.99906;13.9991;11.9989
9.99904;13.9991;11.9989
9.99902;13.9991;11.9988
9.99901;13.9991;11.9988
9.99899;13.9991;11.9988
9.99897;13.999;11.9988
9.99895;13.999;11.9988
9.99893;13.999;11.9987
9.99891;13.999;11.9987
9.99889;13.999;11.9987
9.99887;13.9989;11.9987
9.99885;13.9989;11.9986
9.99883;13.9989;11.9986
9.99881;13.9989;11.9986
9.99879;13.9989;11.9986
9.99877;13.9988;11.9985
9.99875;13.9988;11.9985
9.99872;13.9988;11.9985
9.9987;13.9988;11.9985
9.99868;13.9988;11.9984
9.99866;13.9987;11.9984
9.99864;13.9987;11.9984
9.99862;13.9987;11.9984
9.99859;13.9987;11.9983
9.99857;13.9987;11.9983
9.99855;13.9986;11.9983
9.99853;13.9986;11.9983
9.9985;13.9986;11.9982
9.99848;13.9986;11.9982
9.99846;13.9986;11.9982
9.99843;13.9985;11.9982
9.99841;13.9985;11.9981
9.99839;13.9985;11.9981
9.99836;13.9985;11.9981
9.99834;13.9984;11.998
9.99831;13.9984;11.998
9.99829;13.9984;11.998
9.99826;13.9984;11.998
9.99824;13.9984;11.9979
9.99821;13.9983;11.9979
9.99819;13.9983;11.9979
9.99816;13.9983;11.9978
9.99814;13.9983;11.9978
9.99811;13.9982;11.9978
9.99809;13.9982;11.9977
9.99806;13.9982;11.9977
9.99803;13.9982;11.9977
9.99801;13.9981;11.9977
9.99798;13.9981;11.9976
9.99795;13.9981;11.9976
9.99793;13.9981;11.9976
9.9979;13.998;11.9975
9.99787;13.998;11.9975
9.99785;13.998;11.9975
