xA;yA;zA;xB;yB;zB;xC;yC;zC
0;0.00799987;0;-0.0399602;1.34957e-06;5.02915;0.0399602;1.34957e-06;-5.02915
0;0.0159989;0;-0.0795993;1.07548e-05;5.02026;0.0795993;1.07548e-05;-5.02026
0;0.0239964;0;-0.118845;3.63809e-05;4.98367;0.118845;3.63809e-05;-4.98367
0;0.0319913;0;-0.15846;8.67789e-05;4.96004;0.15846;8.67789e-05;-4.96004
0;0.0399829;0;-0.199287;0.000170513;4.97419;0.199287;0.000170513;-4.97419
0;0.0479705;0;-0.240837;0.000295457;5.00776;0.240837;0.000295457;-5.00776
0;0.0559531;0;-0.28135;0.000468837;5.02079;0.28135;0.000468837;-5.02079
0;0.0639302;0;-0.319802;0.000698182;4.9969;0.319802;0.000698182;-4.9969
0;0.0719008;0;-0.357544;0.000992077;4.96103;0.357544;0.000992077;-4.96103
0;0.079864;0;-0.397154;0.00135963;4.9505;0.397154;0.00135963;-4.9505
0;0.0878191;0;-0.439393;0.00180898;4.97302;0.439393;0.00180898;-4.97302
0;0.0957653;0;-0.481866;0.00234669;4.99883;0.481866;0.00234669;-4.99883
0;0.103702;0;-0.521444;0.0029789;4.99491;0.521444;0.0029789;-4.99491
0;0.111629;0;-0.558019;0.00371303;4.96193;0.558019;0.00371303;-4.96193
0;0.119544;0;-0.595066;0.00455807;4.93265;0.595066;0.00455807;-4.93265
0;0.127448;0;-0.635883;0.0055228;4.93447;0.635883;0.0055228;-4.93447
0;0.135339;0;-0.679586;0.0066139;4.95901;0.679586;0.0066139;-4.95901
0;0.143216;0;-0.721707;0.00783628;4.97237;0.721707;0.00783628;-4.97237
0;0.15108;0;-0.759173;0.00919537;4.95369;0.759173;0.00919537;-4.95369
0;0.15893;0;-0.794088;0.0106988;4.91807;0.794088;0.0106988;-4.91807
0;0.166764;0;-0.831682;0.0123553;4.89877;0.831682;0.0123553;-4.89877
0;0.174583;0;-0.874381;0.0141724;4.90958;0.874381;0.0141724;-4.90958
0;0.182385;0;-0.918735;0.0161547;4.92996;0.918735;0.0161547;-4.92996
0;0.190169;0;-0.959058;0.0183055;4.92889;0.959058;0.0183055;-4.92889
0;0.197937;0;-0.993943;0.0206301;4.89979;0.993943;0.0206301;-4.89979
0;0.205686;0;-1.02817;0.023136;4.86718;1.02817;0.023136;-4.86718
0;0.213417;0;-1.06746;0.0258311;4.85848;1.06746;0.0258311;-4.85848
0;0.221128;0;-1.11191;0.0287205;4.87331;1.11191;0.0287205;-4.87331
0;0.228819;0;-1.15552;0.0318066;4.88472;1.15552;0.0318066;-4.88472
0;0.236491;0;-1.19293;0.035092;4.86995;1.19293;0.035092;-4.86995
0;0.244142;0;-1.22561;0.0385816;4.83576;1.22561;0.0385816;-4.83576
0;0.251772;0;-1.26048;0.0422826;4.81002;1.26048;0.0422826;-4.81002
0;0.25938;0;-1.30211;0.0462007;4.81005;1.30211;0.0462007;-4.81005
0;0.266966;0;-1.34735;0.0503385;4.82358;1.34735;0.0503385;-4.82358
0;0.27453;0;-1.38869;0.0546965;4.8233;1.38869;0.0546965;-4.8233
0;0.282072;0;-1.42276;0.0592768;4.79773;1.42276;0.0592768;-4.79773
0;0.289592;0;-1.45433;0.0640841;4.76358;1.45433;0.0640841;-4.76358
0;0.297088;0;-1.49108;0.069124;4.74631;1.49108;0.069124;-4.74631
0;0.30456;0;-1.53486;0.0743998;4.75146;1.53486;0.0743998;-4.75146
0;0.312009;0;-1.5794;0.0799114;4.75908;1.5794;0.0799114;-4.75908
0;0.319434;0;-1.61728;0.0856581;4.74671;1.61728;0.0856581;-4.74671
0;0.326836;0;-1.64842;0.0916417;4.7145;1.64842;0.0916417;-4.7145
0;0.334213;0;-1.68033;0.0978661;4.68438;1.68033;0.0978661;-4.68438
0;0.341567;0;-1.71968;0.104335;4.67494;1.71968;0.104335;-4.67494
0;0.348895;0;-1.76464;0.111048;4.68085;1.76464;0.111048;-4.68085
0;0.3562;0;-1.80683;0.118004;4.67949;1.80683;0.118004;-4.67949
0;0.36348;0;-1.84073;0.1252;4.65668;1.84073;0.1252;-4.65668
0;0.370736;0;-1.87007;0.132639;4.62225;1.87007;0.132639;-4.62225
0;0.377968;0;-1.9037;0.140323;4.59835;1.9037;0.140323;-4.59835
0;0.385175;0;-1.94557;0.148253;4.59436;1.94557;0.148253;-4.59436
0;0.392357;0;-1.99017;0.156425;4.5969;1.99017;0.156425;-4.5969
0;0.399516;0;-2.02865;0.164837;4.58537;2.02865;0.164837;-4.58537
0;0.406651;0;-2.05888;0.173487;4.55517;2.05888;0.173487;-4.55517
0;0.413762;0;-2.08795;0.182376;4.52231;2.08795;0.182376;-4.52231
0;0.42085;0;-2.12418;0.191502;4.50493;2.12418;0.191502;-4.50493
0;0.427913;0;-2.1677;0.200866;4.50304;2.1677;0.200866;-4.50304
0;0.434954;0;-2.21018;0.210461;4.49907;2.21018;0.210461;-4.49907
0;0.441972;0;-2.24426;0.220285;4.47802;2.24426;0.220285;-4.47802
0;0.448967;0;-2.27189;0.230333;4.44404;2.27189;0.230333;-4.44404
0;0.455939;0;-2.3022;0.240606;4.41525;2.3022;0.240606;-4.41525
0;0.46289;0;-2.34117;0.251101;4.40307;2.34117;0.251101;-4.40307
0;0.469819;0;-2.38483;0.261814;4.39975;2.38483;0.261814;-4.39975
0;0.476726;0;-2.42368;0.272739;4.38762;2.42368;0.272739;-4.38762
0;0.483613;0;-2.45347;0.283871;4.35907;2.45347;0.283871;-4.35907
0;0.490479;0;-2.48002;0.295207;4.32472;2.48002;0.295207;-4.32472
0;0.497326;0;-2.51267;0.306744;4.30096;2.51267;0.306744;-4.30096
0;0.504152;0;-2.5537;0.318478;4.29155;2.5537;0.318478;-4.29155
0;0.51096;0;-2.59571;0.330402;4.28386;2.59571;0.330402;-4.28386
0;0.517749;0;-2.63;0.34251;4.26345;2.63;0.34251;-4.26345
0;0.52452;0;-2.65639;0.354796;4.23022;2.65639;0.354796;-4.23022
0;0.531274;0;-2.68347;0.367256;4.19803;2.68347;0.367256;-4.19803
0;0.538011;0;-2.71886;0.379885;4.1788;2.71886;0.379885;-4.1788
0;0.544732;0;-2.76057;0.392678;4.16935;2.76057;0.392678;-4.16935
0;0.551437;0;-2.79928;0.405625;4.1554;2.79928;0.405625;-4.1554
0;0.558128;0;-2.82886;0.418721;4.12791;2.82886;0.418721;-4.12791
0;0.564804;0;-2.85331;0.43196;4.09288;2.85331;0.43196;-4.09288
0;0.571467;0;-2.88221;0.445335;4.06421;2.88221;0.445335;-4.06421
0;0.578116;0;-2.9199;0.45884;4.04794;2.9199;0.45884;-4.04794
0;0.584753;0;-2.96056;0.472468;4.03582;2.96056;0.472468;-4.03582
0;0.591379;0;-2.99482;0.486211;4.015;2.99482;0.486211;-4.015
0;0.597994;0;-3.02034;0.500061;3.98247;3.02034;0.500061;-3.98247
0;0.604599;0;-3.04447;0.514011;3.94804;3.04447;0.514011;-3.94804
0;0.611195;0;-3.07585;0.528054;3.92302;3.07585;0.528054;-3.92302
0;0.617782;0;-3.11471;0.542183;3.90754;3.11471;0.542183;-3.90754
0;0.624361;0;-3.15259;0.55639;3.89088;3.15259;0.55639;-3.89088
0;0.630933;0;-3.18196;0.570666;3.86372;3.18196;0.570666;-3.86372
0;0.6375;0;-3.2047;0.585004;3.82848;3.2047;0.585004;-3.82848
0;0.64406;0;-3.22993;0.599396;3.79619;3.22993;0.599396;-3.79619
0;0.650617;0;-3.26369;0.613833;3.77391;3.26369;0.613833;-3.77391
0;0.657169;0;-3.30211;0.628309;3.75706;3.30211;0.628309;-3.75706
0;0.663719;0;-3.33586;0.642814;3.73493;3.33586;0.642814;-3.73493
0;0.670266;0;-3.3607;0.657341;3.70282;3.3607;0.657341;-3.70282
0;0.676812;0;-3.38222;0.67188;3.66701;3.38222;0.67188;-3.66701
0;0.683357;0;-3.40947;0.686425;3.63739;3.40947;0.686425;-3.63739
0;0.689903;0;-3.44473;0.700967;3.61633;3.44473;0.700967;-3.61633
